,link,Name,Subtitle,Price,Sale price
39,https://www.nike.com/t/sportswear-tech-fleece-womens-mid-rise-joggers-CtmcCv/FB8330-394,Nike Sportswear Tech Fleece,Women's Mid-Rise Joggers,$120,$95.97
40,https://www.nike.com/t/sportswear-tech-fleece-windrunner-womens-full-zip-hoodie-GNXt2C/FB8338-394,Nike Sportswear Tech Fleece Windrunner,Women's Full-Zip Hoodie,$145,$123.97
41,https://www.nike.com/t/grand-sunglasses-73mQ0v/NKFV2410-203,Nike Grand,Sunglasses,$145,$89.97
42,https://www.nike.com/t/air-max-97-big-kids-shoes-fQk07c/921522-030,Nike Air Max 97,Big Kids’ Shoes,$160,$97.97
43,https://www.nike.com/t/sportswear-tech-fleece-big-kids-boys-full-zip-hoodie-7bKtmH/FD3285-020,Nike Sportswear Tech Fleece,Big Kids' (Boys') Full-Zip Hoodie,$105,$72.97
44,https://www.nike.com/t/tech-fleece-big-kids-boys-shorts-wpXG0k/FD3289-020,Nike Tech Fleece,Big Kids' (Boys') Shorts,$65,$44.97
45,https://www.nike.com/t/sportswear-tech-fleece-big-kids-girls-full-zip-hoodie-1mlJC9/FD2979-019,Nike Sportswear Tech Fleece,Big Kids' (Girls') Full-Zip Hoodie,$105,$62.97
46,https://www.nike.com/t/sportswear-tech-fleece-big-kids-girls-joggers-h4HvcT/FD2975-019,Nike Sportswear Tech Fleece,Big Kids' (Girls') Joggers,$90,$71.97
47,https://www.nike.com/t/dunk-low-retro-mens-shoes-6sznpN/HF4850-345,Nike Dunk Low Retro,Men's Shoes,$115,$91.97
48,https://www.nike.com/t/air-max-97-mens-shoes-LJmK45/921826-101,Nike Air Max 97,Men's Shoes,$175,$129.97
49,https://www.nike.com/t/sportswear-tech-fleece-windrunner-mens-full-zip-hoodie-2QLsNw/FB7921-051,Nike Sportswear Tech Fleece Windrunner,Men's Full-Zip Hoodie,$145,$123.97
50,https://www.nike.com/t/sportswear-tech-fleece-mens-joggers-fsTgRP/FB8002-010,Nike Sportswear Tech Fleece,Men's Joggers,$125,$106.97
51,https://www.nike.com/t/air-jordan-1-retro-low-slip-womens-shoes-3lqhns/AV3918-001,Air Jordan 1 Retro Low Slip,Women's Shoes,$110,$88.97
52,https://www.nike.com/t/air-jordan-1-low-womens-shoes-rJrHLw/DC0774-001,Air Jordan 1 Low,Women's Shoes,$115,$86.97
53,https://www.nike.com/t/jordan-flight-heritage-womens-graphic-t-shirt-K15R2W/FQ3240-304,Jordan Flight Heritage,Women's Graphic T-Shirt,$48,$36.97
54,https://www.nike.com/t/jordan-womens-woven-shorts-bpXQqD/FN5686-304,Jordan,Women's Woven Shorts,$65,$45.97
55,https://www.nike.com/t/jordan-2-3-mens-shoes-rSwGJD/FD0383-100,Jordan 2/3,Men's Shoes,$160,$136.97
56,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-X5pM09/DQ8426-006,Air Jordan 1 Mid,Men's Shoes,$125,$81.97
57,https://www.nike.com/t/jordan-flight-essentials-mens-t-shirt-l7MxF5/FN6000-010,Jordan Flight Essentials,Men's T-Shirt,$42,$31.97
58,https://www.nike.com/t/jordan-essentials-mens-poolside-shorts-Qc0wS7/FQ4565-010,Jordan Essentials,Men's Poolside Shorts,$55,$41.97
59,https://www.nike.com/t/air-jordan-1-mid-wings-big-kids-shoes-TWKlfs/FZ1209-001,Air Jordan 1 Mid Wings,Big Kids' Shoes,$120,$102.97
60,https://www.nike.com/t/air-jordan-1-mid-big-kids-shoes-H5qqbF/DQ8423-006,Air Jordan 1 Mid,Big Kids' Shoes,$110,$72.97
61,https://www.nike.com/t/jordan-big-kids-recon-cropped-jersey-z2H8rn/455893-001,Jordan,Big Kids' Recon Cropped Jersey,$45,$29.97
62,https://www.nike.com/t/go-flyease-easy-on-off-shoes-LGmqKx/DR5540-102,Nike Go FlyEase,Easy On/Off Shoes,$125,$93.97
63,https://www.nike.com/t/air-max-90-ltr-big-kids-shoes-1wzwJM/CD6864-001,Nike Air Max 90 LTR,Big Kids’ Shoes,$100,$75.97
64,https://www.nike.com/t/air-jordan-1-low-se-mens-shoes-r4hJb1/FN5214-141,Air Jordan 1 Low SE,Men's Shoes,$125,$81.97
65,https://www.nike.com/t/air-max-sc-womens-shoes-CwMCK7/CW4554-118,Nike Air Max SC,Women's Shoes,$90,$67.97
66,https://www.nike.com/t/air-jordan-1-mid-se-big-kids-shoes-hfXjW4/FN7432-161,Air Jordan 1 Mid SE,Big Kids' Shoes,$120,$81.97
67,https://www.nike.com/t/air-jordan-1-mid-womens-shoes-FfLktz/BQ6472-130,Air Jordan 1 Mid,Women's Shoes,$125,$93.97
68,https://www.nike.com/t/court-legacy-next-nature-womens-shoes-8r07x0/DH3161-103,Nike Court Legacy Next Nature,Women's Shoes,$70,$54.97
69,https://www.nike.com/t/legend-essential-3-next-nature-mens-workout-shoes-Kbdqcx/DM1120-013,Nike Legend Essential 3 Next Nature,Men's Workout Shoes,$70,$42.97
70,https://www.nike.com/t/interact-run-mens-road-running-shoes-2pmmcR/FD2291-001,Nike Interact Run,Men's Road Running Shoes,$85,$59.97
71,https://www.nike.com/t/flex-control-4-mens-workout-shoes-14Z62l/CD0197-002,Nike Flex Control 4,Men's Workout Shoes,$70,$64.97
72,https://www.nike.com/t/sportswear-club-fleece-pullover-hoodie-Bmrxdn/BV2654-072,Nike Sportswear Club Fleece,Pullover Hoodie,$65,$31.97
73,https://www.nike.com/t/gamma-force-womens-shoes-4TR9Xf/HF4987-100,Nike Gamma Force,Women's Shoes,$95,$65.97
74,https://www.nike.com/t/huarache-run-big-kids-shoes-2KTrWZKn/654275-110,Nike Huarache Run,Big Kids' Shoes,$90,$53.97
75,https://www.nike.com/t/jordan-one-take-5-basketball-shoes-5lWJJ3/FD2335-006,Jordan One Take 5,Basketball Shoes,$100,$55.97
76,https://www.nike.com/t/air-force-1-wild-womens-shoes-r7kSSl/FB2348-201,Nike Air Force 1 Wild,Women's Shoes,$145,$101.97
77,https://www.nike.com/t/air-jordan-1-mid-se-mens-shoes-Zn07hL/FN5215-141,Air Jordan 1 Mid SE,Men's Shoes,$135,$87.97
78,https://www.nike.com/t/dunk-low-se-big-kids-shoes-t0F6ls/FN4861-100,Nike Dunk Low SE,Big Kids' Shoes,$100,$83.97
79,https://www.nike.com/t/air-jordan-1-low-se-womens-shoes-jxMXgH/FQ1925-100,Air Jordan 1 Low SE,Women's Shoes,$125,$87.97
80,https://www.nike.com/t/air-force-1-07-lv8-mens-shoes-frzlZf/FN5832-001,Nike Air Force 1 '07 LV8,Men's Shoes,$125,$99.97
